0.000000000000000000e+00 1.006803530283390424e+00 1.009652080527395412e+00 1.026843048253639479e+00
1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000000e+02 9.942655734446239624e-01 9.913833437821479855e-01 9.830510313005749179e-01
3.000000000000000000e+02 9.897935932918653368e-01 9.861980523886110239e-01 9.708119135718855652e-01
4.000000000000000000e+02 9.862336722243847387e-01 9.812245736172953148e-01 9.628210347103735023e-01
5.000000000000000000e+02 9.830220226156040075e-01 9.759952373509885870e-01 9.542710233185415225e-01
6.000000000000000000e+02 9.789512864610337983e-01 9.694655136859987588e-01 9.400972505227673803e-01
7.000000000000000000e+02 9.755997096481195952e-01 9.626990598519222786e-01 9.265141547668795940e-01
9.000000000000000000e+02 9.693306782115149733e-01 9.525985306979990463e-01 9.020400284598946161e-01
1.100000000000000000e+03 9.623717365430609627e-01 9.436685557770593258e-01 8.935234819273825124e-01
1.300000000000000000e+03 9.549130622201705831e-01 9.328367696940519371e-01 8.755411262017845919e-01
1.500000000000000000e+03 9.480230421788826689e-01 9.229960103197323296e-01 8.494603594927564449e-01
1.700000000000000000e+03 9.418567067800825976e-01 9.118966906066058309e-01 8.289398792280282535e-01
1.900000000000000000e+03 9.345534402681411335e-01 9.029210681734285426e-01 8.201720525175674181e-01
2.300000000000000000e+03 9.224938518898196937e-01 8.848980780377734279e-01 7.881465216772608473e-01
2.700000000000000000e+03 9.097548323454256458e-01 8.658215725831239773e-01 7.556789354852381235e-01
3.100000000000000000e+03 8.969221613278387517e-01 8.453773251961130830e-01 7.295967743831074381e-01
3.500000000000000000e+03 8.842828209330340083e-01 8.271583797175590114e-01 6.892100337271586108e-01
3.900000000000000000e+03 8.729874494629816795e-01 8.123755861329327033e-01 6.683734938870015130e-01
4.300000000000000000e+03 8.600570851035321818e-01 7.960420258570704011e-01 6.462558284989206037e-01
5.100000000000000000e+03 8.360464953214536976e-01 7.637802005579703568e-01 5.942619510311137887e-01
5.900000000000000000e+03 8.126695957075125154e-01 7.315070257138061027e-01 5.564344725158665295e-01
6.700000000000000000e+03 7.928293899708921399e-01 7.061129981859727289e-01 5.246544169281891490e-01
7.500000000000000000e+03 7.747288177500949446e-01 6.801117205887718953e-01 4.996512130805654262e-01
8.300000000000000000e+03 7.559766700744892098e-01 6.535544484773437857e-01 4.575864777736916578e-01
9.100000000000000000e+03 7.385971114121036019e-01 6.280981460197946342e-01 4.278595928319562924e-01
1.070000000000000000e+04 6.999086201370370297e-01 5.804591419502845850e-01 3.701775074509650598e-01
1.230000000000000000e+04 6.618727645484261402e-01 5.380988995074672543e-01 3.249245785055187019e-01
1.390000000000000000e+04 6.259659589038023553e-01 4.998022046156502252e-01 2.831051858806882260e-01
1.550000000000000000e+04 5.944611999018600823e-01 4.653507044543564453e-01 2.404991416648748215e-01
1.710000000000000000e+04 5.686171710811342983e-01 4.351777369002777784e-01 2.228197113685435604e-01
1.870000000000000000e+04 5.429460574393355499e-01 4.097209072322858248e-01 2.086110553286945890e-01
2.190000000000000000e+04 4.949996821169504457e-01 3.657725950611753207e-01 1.672724204725412611e-01
2.510000000000000000e+04 4.514162772278579316e-01 3.299801658770723511e-01 1.459468707270168975e-01
2.830000000000000000e+04 4.158103134544287593e-01 2.981228913446048456e-01 1.237699685247067027e-01
3.150000000000000000e+04 3.862892043539409848e-01 2.676412622450544121e-01 1.009217743375356163e-01
3.470000000000000000e+04 3.560645854429648205e-01 2.389305784026727331e-01 7.561070874590533619e-02
3.790000000000000000e+04 3.281862353525105691e-01 2.172999462820477956e-01 5.141605963153470654e-02
4.430000000000000000e+04 2.761995290114685475e-01 1.894218527395413187e-01 2.477833627578931303e-02
5.070000000000000000e+04 2.206565949318727848e-01 1.638755924712745338e-01 2.804261620112382530e-02
5.710000000000000000e+04 1.787006281339745262e-01 1.289395999591585185e-01 1.067771064669961745e-02
6.350000000000000000e+04 1.523177092340883276e-01 9.505565654970714318e-02 8.560903644546435237e-03
6.990000000000000000e+04 1.428197019425903880e-01 8.068569633786497330e-02 1.973014164096643930e-02
7.630000000000000000e+04 1.333033935783337620e-01 7.980151614224599566e-02 2.136561125897061889e-02
8.910000000000000000e+04 1.066059599859989493e-01 7.121693865427237979e-02 6.757904778139291191e-03
1.019000000000000000e+05 7.623216912603013318e-02 6.897757151160871514e-02 -7.090220087217963263e-03
1.147000000000000000e+05 7.296194781551766650e-02 6.812896143950782080e-02 -4.030569224191614397e-02
1.275000000000000000e+05 8.610764099111080372e-02 7.154118568420672619e-02 -3.681078009456160288e-02
1.403000000000000000e+05 1.026064910852700907e-01 7.588560662049523287e-02 -3.349214085723524470e-02
1.531000000000000000e+05 1.085807566623785830e-01 8.279989342962561227e-02 -4.138010069992178325e-02
1.787000000000000000e+05 1.306337257218629921e-01 1.439630955051449113e-01 8.270347714278404594e-03
2.043000000000000000e+05 1.176710350533947957e-01 1.266295024774015676e-01 -7.606196976560009905e-03
2.299000000000000000e+05 7.239870666364073282e-02 9.565595263082253552e-02 2.997788285459278973e-03
2.555000000000000000e+05 2.494003098067002974e-02 7.817216661635953412e-02 5.460299089335136566e-03
2.811000000000000000e+05 2.734434313648871281e-02 4.816438984490315628e-02 -1.288228768730599605e-02
3.067000000000000000e+05 1.790056914626558804e-02 1.659932929291715181e-02 -2.026626430301416842e-02
3.579000000000000000e+05 -1.219787023149451755e-02 3.278787462175312972e-02 -2.045359923486803760e-02
4.091000000000000000e+05 -3.766027804856089678e-02 2.041274542110135121e-02 3.997082465821390034e-03
4.603000000000000000e+05 6.459155863982181389e-02 5.665459944543210780e-02 5.038023454767986270e-02
5.115000000000000000e+05 3.945924061141580647e-02 5.827036652533013061e-02 4.266710955641726810e-02
5.627000000000000000e+05 -7.502403257826782690e-02 -3.379936830692093636e-02 -5.227502765827245906e-02
