temp,intensity,width
198,1067173.1,0.594380215
200,275808.6,0.528109331
202,6075.4,15.69917482
204,6671.7,30.72627313
206,4510.9,38.5341767
208,3084.1,44.07790757
210,3211.5,52.31143646
