temp,tau_1,tau_2,tau_3
4.8,3.26253892791903,2.33687960162709,1.45099010963141
4.7,5.28752625203719,3.21393806085891,1.57944872909353
4.6,11.4392221029296,5.6710723435468,2.09991998523657
4.55,19.6297062938207,7.23053437660077,2.44993260413009
4.5,27.5808014070448,10.1204383863151,2.66807924374825
4.4,7.36787287181554,5.86885686212043,1.94801328602722
4.3,2.41847307150998,2.02983301076381,1.24155146618474
4.35,3.639681837268,2.51530220187565,1.45986577650957
4.65,7.5985432900255,4.24602633119791,1.66302851802157
4.75,4.09314283202539,2.7900327358469,1.55127727864122
4.25,2.09658667815752,1.46161734988824,1.18559142773872
4.85,2.74540426001153,2.05082000574207,1.23314466658703
4.9,2.23731583660541,1.65404834084186,1.10931965485311
5.05,1.47438403230945,1.10189379980071,0.981454852493843
5.0,1.56991836056336,1.45668749640207,1.02315082385233
4.95,1.90217670470923,1.48481713491106,1.09190225681976
4.45,12.599569488002686,7.916120590433722,2.4443887644833087
